Employee_ID,Name,Department,Date_of_Joining,Age,Gender,Salary,Experience_Years,Last_Performance_Score,Attrition,City
1091,Samantha,hr,2018-04-23,59,Male,75554,7,3.2,No,Chennai
2477,Robert,Finance,2016-06-07,37,Male,39538,9,3.0,No,Delhi
2556,Kathryn,IT,2017-05-08,40,Other,94161,8,4.7,Yes,Mumbai
2115,Donald,Finance,2021-02-01,37,,103894,4,4.8,Yes,Bangalore
1732,Kelly,Marketing,2019-12-21,26,,56839,6,3.2,Yes,Mumbai
1555,Mario,IT,2019-11-24,45,Male,45215,6,2.4,Yes,Bangalore
1454,Kimberly,Sales,2018-11-27,58,Female,108347,7,2.5,Yes,Mumbai
1248,Nathaniel,hr,2023-11-05,38,Female,109685,2,4.4,No,Mumbai
2661,Joseph,hr,2022-09-14,36,,74840,3,4.6,Yes,
1956,Pamela,Finance,2023-12-07,45,,106896,2,2.8,No,Bangalore
1742,Donald,hr,2024-11-17,51,,71203,1,3.3,Yes,
2604,William,IT,2016-06-03,38,Male,68122,9,3.0,Yes,Hyderabad
2659,Brandon,HR,2024-04-25,39,Female,68074,1,4.1,No,Chennai
2735,Rebecca,Finance,2019-06-25,54,Other,77935,6,4.8,No,Delhi
2433,Thomas,hr,2022-02-24,32,Female,66925,3,2.8,Yes,Chennai
2859,Jonathan,Marketing,2025-06-30,43,,114781,0,3.5,No,Chennai
2161,Christine,IT,2020-10-11,33,Other,50992,5,2.8,No,Hyderabad
2350,Diana,hr,2019-09-18,53,Male,64917,6,2.3,Yes,Delhi
2309,Kimberly,Finance,2024-07-09,50,,87328,1,,Yes,Delhi
2107,Michelle,HR ,2017-01-11,22,Other,72209,8,3.0,Yes,
1605,Jesse,Sales,2025-06-22,48,,53215,0,2.4,Yes,Chennai
2842,Rachel,Marketing,2024-10-21,41,Other,97571,1,2.5,No,Chennai
2511,Chase,Finance,2017-05-21,28,,103213,8,2.1,No,Delhi
2340,Nicholas,hr,2021-06-23,52,Female,98876,4,2.4,No,Bangalore
1089,Barbara,Marketing,2019-01-29,43,,68740,6,3.1,Yes,
2308,Kayla,HR ,2020-09-30,49,Male,107232,5,4.2,Yes,Mumbai
1094,Hannah,hr,2021-12-18,22,Female,38814,4,3.0,No,Bangalore
2182,Sara,Finance,2021-07-17,25,,50710,4,3.4,No,Bangalore
2510,Jason,IT,2017-12-08,46,Male,35143,8,4.9,No,
1054,Roger,Marketing,2021-08-21,47,Female,105363,4,,No,Bangalore
2187,Anthony,HR ,2021-01-10,45,Other,88270,4,3.2,Yes,
2881,Diana,hr,2023-07-09,55,,44052,2,3.7,No,Bangalore
2650,Sarah,HR,2020-01-27,32,Other,118514,5,4.0,No,Bangalore
1845,Jenny,IT,2020-05-04,56,,94323,5,2.9,Yes,
2027,Gina,IT,2016-01-22,28,Male,39556,9,4.9,No,Chennai
2755,Jacqueline,hr,2022-06-19,42,Female,52502,3,4.0,No,
1766,Krystal,HR ,2019-01-05,34,Female,96941,6,4.2,Yes,Mumbai
1421,Scott,Finance,2023-10-30,51,Other,41832,2,4.5,Yes,Chennai
2959,Cindy,HR,2016-01-30,40,Female,60403,9,2.9,No,Hyderabad
2061,Paul,Sales,2023-08-24,42,Other,83722,2,4.1,Yes,Hyderabad
1899,Betty,hr,2017-10-17,59,,107216,8,3.9,Yes,Mumbai
1760,Justin,IT,2017-01-03,59,Male,106403,8,3.8,No,Bangalore
2115,Sarah,IT,2021-06-05,25,Other,62703,4,2.2,No,Hyderabad
2583,Brent,Finance,2017-02-15,47,,101970,8,3.6,No,Bangalore
1221,Jonathan,IT,2016-11-13,24,,108599,9,3.5,Yes,Hyderabad
1815,Gabrielle,HR ,2022-03-10,53,Male,51835,3,3.0,Yes,Delhi
2393,Rachel,Sales,2019-03-06,33,Male,34431,6,3.2,Yes,Bangalore
1211,Amanda,HR ,2023-03-05,48,Male,117478,2,4.0,No,Hyderabad
1974,Steve,HR ,2018-05-06,58,Other,60602,7,4.9,No,Chennai
2372,Courtney,HR,2020-04-03,34,Other,76397,5,3.2,No,
2524,Brad,HR ,2021-06-19,55,Male,104231,4,4.7,No,Hyderabad
1307,Lisa,hr,2015-12-24,15,,500000,10,3.4,No,Chennai
1072,Carrie,hr,2016-05-18,59,Male,97822,9,3.7,Yes,Hyderabad
1660,William,IT,2023-05-10,39,Female,82661,2,2.3,Yes,Bangalore
2732,Erica,IT,2017-04-30,45,,1000000,8,2.2,Yes,Mumbai
1093,Zachary,HR ,2016-07-05,59,Female,44744,9,4.2,Yes,Delhi
1531,Benjamin,Marketing,2024-06-12,35,Male,49109,1,3.1,No,Delhi
1128,Nicholas,hr,2016-02-09,26,Female,52497,9,4.5,Yes,Bangalore
2622,Jamie,HR,2025-06-09,50,Female,50996,0,2.2,Yes,
2465,Kyle,HR ,2016-11-26,57,Female,62060,9,3.7,No,
1229,Derek,Sales,2020-05-05,32,Female,46609,5,3.8,Yes,Chennai
1955,Joshua,Sales,2023-12-10,58,Male,87108,2,,Yes,Mumbai
2905,Jessica,hr,2022-11-06,56,,81913,3,2.1,Yes,Bangalore
1045,Tanya,Sales,2021-07-28,37,,63479,4,2.9,No,Mumbai
1850,Roberto,hr,2015-12-07,33,Other,77248,10,4.3,No,Mumbai
1632,Hannah,HR ,2017-08-26,28,Other,55227,8,2.3,No,Chennai
2031,Sharon,HR ,2028-11-07,55,Other,36695,0,2.5,No,Hyderabad
2003,James,Marketing,2019-08-14,46,Female,40832,6,4.7,No,Delhi
2083,Jeffrey,IT,2015-10-18,40,Other,50594,10,3.9,No,Bangalore
1091,Anthony,Marketing,2025-05-18,22,,118811,0,2.0,No,Chennai
2704,Jake,HR,2018-01-14,58,,99893,7,2.8,Yes,Chennai
2964,Stephanie,hr,2017-10-03,22,,33487,8,3.7,Yes,
1047,Robert,HR,2022-08-03,46,Male,1000000,3,,No,Chennai
2536,Eric,IT,2023-01-28,25,Female,40065,2,3.0,No,Mumbai
1539,Amy,hr,2021-04-10,55,,50439,4,2.4,No,Delhi
1564,Michele,Marketing,2022-03-17,30,,30774,3,4.5,Yes,Delhi
1670,Carlos,HR,2023-03-18,29,,53611,2,4.7,Yes,Hyderabad
1015,Rachel,hr,2025-08-15,54,Male,83280,0,4.9,No,Mumbai
1359,Jonathan,Sales,2016-08-31,41,,79193,9,3.7,No,Mumbai
2020,Ana,hr,2021-04-07,24,,105055,4,4.2,No,Hyderabad
2897,Alexander,HR,2024-10-03,100,Male,64328,1,,No,
1761,Melissa,IT,2022-08-21,24,,67170,3,2.4,No,Bangalore
2283,Cindy,HR ,2016-05-10,38,Other,108800,9,4.2,Yes,Mumbai
1125,Beth,Sales,2024-08-28,48,Female,75641,1,2.2,No,
2898,Keith,HR,2020-11-27,40,Male,67876,5,4.7,No,
1381,Amanda,HR ,2019-01-18,25,Male,86336,6,4.4,Yes,Chennai
1559,Jennifer,Sales,2016-06-05,52,Female,77295,9,2.7,No,Chennai
1800,Maria,Finance,2016-07-20,27,,104037,9,2.0,Yes,Delhi
2145,Brittany,Marketing,2016-12-23,49,Other,68212,9,3.2,No,Chennai
2392,Joanna,Marketing,2022-07-15,32,Male,66014,3,3.6,Yes,
1744,Rachel,HR,2016-03-14,43,Male,66412,9,4.3,Yes,Mumbai
2421,Jay,Sales,2015-10-07,57,Male,64842,10,,No,Delhi
1526,Dale,Sales,2024-01-29,35,Other,113760,1,2.7,Yes,Bangalore
1233,Tammy,IT,2019-08-06,58,Female,70316,6,2.7,No,
1569,Brenda,Sales,2018-07-04,47,,86457,7,4.1,Yes,Delhi
1499,Jesse,HR ,2019-01-04,40,Other,67850,6,3.8,No,
1088,Brianna,IT,2025-09-17,45,,94676,0,4.2,Yes,Bangalore
2201,Joseph,Marketing,2026-03-07,45,Male,115649,0,3.5,No,Mumbai
2024,Dylan,Finance,2020-12-23,57,,79286,5,4.6,Yes,Mumbai
1474,Benjamin,Finance,2020-11-21,57,Other,113573,5,,Yes,Bangalore
1854,Jason,Sales,2019-10-05,30,Female,83442,6,3.8,No,Chennai
1912,Kayla,Finance,2018-02-25,39,Other,94718,7,4.2,Yes,Bangalore
2076,Kimberly,hr,2019-04-17,46,,36314,6,4.1,No,Chennai
2529,Carla,Finance,2024-01-08,46,Female,117037,1,4.8,No,Mumbai
2837,Jennifer,IT,2015-12-13,57,Other,32362,10,3.8,Yes,Delhi
2694,Amy,Finance,2030-04-17,35,Male,95511,0,4.0,Yes,Bangalore
2630,Amanda,Sales,2022-05-02,28,Female,117913,3,3.1,Yes,Delhi
1364,Justin,Sales,2022-10-02,28,Male,58798,3,,Yes,
1317,Catherine,IT,2023-09-01,44,,33042,2,2.9,Yes,
2546,Jeffrey,Sales,2020-11-18,40,Male,83503,5,3.3,No,Chennai
1707,Anthony,Finance,2018-01-17,36,,84835,7,3.5,Yes,Bangalore
1470,Clifford,Marketing,2020-06-18,52,Male,74087,5,2.6,No,Chennai
2387,Russell,hr,2021-01-01,100,Other,115972,4,4.0,No,Bangalore
2014,Kimberly,Finance,2019-07-01,34,Other,117371,6,3.7,Yes,
2169,Robert,hr,2020-12-20,52,,115700,5,2.4,Yes,Hyderabad
2921,Nathan,Sales,2017-03-11,48,Female,46166,8,2.3,No,Bangalore
1281,Jennifer,IT,2022-09-17,32,,42191,3,4.1,No,Bangalore
1030,Anthony,Marketing,2017-03-28,42,Other,73214,8,3.2,No,Delhi
2926,Pamela,HR ,2016-11-29,47,Other,72690,9,3.3,Yes,Chennai
1197,Steven,IT,2024-01-08,41,,112579,1,3.4,Yes,Mumbai
2105,Joseph,HR ,2021-06-30,40,Other,64745,4,2.5,No,Mumbai
2079,Amanda,HR ,2025-07-03,56,Male,113799,0,2.4,No,
1710,Kristen,HR,2017-06-19,27,Male,118960,8,2.7,Yes,Hyderabad
2874,April,IT,2019-10-10,25,Female,119000,6,2.5,No,
1474,Tyler,Sales,2017-03-30,29,Male,66944,8,2.2,No,Chennai
2681,Suzanne,Sales,2017-10-09,53,Male,76314,8,4.9,No,Hyderabad
2105,Anna,HR,2018-08-03,28,Female,38895,7,2.6,No,Hyderabad
2394,Vincent,Marketing,2017-01-19,42,Female,95019,8,4.8,Yes,Mumbai
2095,Benjamin,hr,2022-07-01,45,Female,65765,3,3.2,No,
2852,Lauren,Finance,2024-11-10,40,Male,40891,1,2.3,Yes,Delhi
1000,Richard,hr,2019-03-19,41,Other,68794,6,2.2,No,
2677,Paul,IT,2020-12-31,55,,81003,5,3.7,No,Hyderabad
1553,Rachel,HR ,2017-09-08,51,Male,62654,8,4.9,Yes,Bangalore
2067,Michael,HR ,2021-06-23,45,,50386,4,4.5,Yes,
2858,Nicholas,IT,2023-03-11,24,Other,62664,2,4.6,No,Mumbai
1165,Crystal,HR,2023-12-05,48,Male,91477,2,3.1,Yes,Bangalore
1828,Taylor,HR ,2021-10-23,59,,116448,4,3.2,No,Chennai
1758,Emily,IT,2015-12-30,56,,80139,10,4.4,No,Hyderabad
1427,Lindsey,Marketing,2020-06-22,28,Female,93432,5,,Yes,Delhi
2120,Sarah,HR,2025-07-23,28,,46140,0,3.2,No,Bangalore
2913,Kristopher,hr,2023-02-26,45,Female,63668,2,4.2,No,Hyderabad
2375,Kenneth,Sales,2024-01-28,50,Female,51750,1,3.5,Yes,
2739,Ronald,hr,2019-03-14,29,,92562,6,2.2,Yes,Hyderabad
2869,Robert,Sales,2017-05-28,32,Male,35301,8,3.6,Yes,Hyderabad
1729,Laurie,Finance,2016-01-18,24,Other,85212,9,3.2,No,Bangalore
1632,Todd,Marketing,2016-10-31,25,Male,37022,9,2.8,No,Delhi
1486,Marie,HR,2022-09-15,48,Other,46988,3,2.5,No,Bangalore
1506,Kristy,Marketing,2020-04-04,59,,115522,5,2.6,Yes,Delhi
1047,Barbara,Finance,2024-01-06,59,,56072,1,4.9,Yes,Hyderabad
2384,Elizabeth,hr,2020-03-11,35,Male,66523,5,3.2,Yes,
1730,Ellen,IT,2025-09-10,38,,39976,0,4.4,Yes,Chennai
2481,Stephen,hr,2015-10-10,53,Male,67685,10,2.9,No,Delhi
1975,Timothy,Sales,2020-09-11,57,Other,67823,5,2.0,No,Delhi
2667,Kenneth,hr,2023-02-27,100,,66685,2,3.0,Yes,Chennai
2269,Andre,Finance,2017-12-23,54,,68482,8,4.2,No,Bangalore
2334,Rickey,Marketing,2023-01-01,35,Other,65023,2,,Yes,Hyderabad
2744,Jack,Sales,2015-12-31,40,Other,105280,10,2.6,Yes,Bangalore
1373,Tracy,IT,2020-04-02,44,Male,101366,5,3.5,No,Chennai
2694,Caleb,IT,2016-09-05,22,,53548,9,4.3,Yes,Hyderabad
1932,Earl,Marketing,2016-05-22,29,,44182,9,4.1,Yes,Delhi
1831,Kathy,Finance,2024-06-03,33,Male,102858,1,3.0,No,Chennai
2583,Melanie,Marketing,2022-12-27,37,,82655,3,4.7,Yes,Delhi
1465,Ronald,IT,2025-08-09,52,Female,43434,0,3.8,Yes,Hyderabad
2598,Andrea,HR,2026-01-24,49,Female,93210,0,3.6,No,Chennai
2028,Melanie,Marketing,2017-02-21,45,,106451,8,4.1,Yes,Mumbai
1363,Alicia,hr,2025-09-26,47,Male,96198,0,2.5,Yes,Mumbai
1365,Cameron,HR,2021-12-09,37,Other,31854,4,,Yes,Mumbai
2739,Ronald,hr,2019-03-14,29,,92562,6,2.2,Yes,Hyderabad
1168,Stacy,HR,2022-01-01,23,Male,58784,3,5.0,Yes,
1742,Patricia,HR,2022-01-11,59,Female,48342,3,4.0,No,Delhi
2346,Paul,IT,2021-08-27,34,,63599,4,3.8,Yes,Delhi
2134,Alexandra,HR,2020-03-22,25,Female,73046,5,3.5,Yes,Hyderabad
1308,Daniel,Marketing,2019-01-31,59,Other,58676,6,,Yes,Delhi
1935,James,HR ,2019-07-19,34,Male,82095,6,4.2,Yes,
2887,Christina,Sales,2021-06-24,31,Female,51994,4,,No,Mumbai
1937,Michael,IT,2018-09-22,34,Other,50308,7,3.8,No,Bangalore
2999,Tina,HR ,2016-08-02,39,Male,109987,9,3.1,Yes,Mumbai
2080,Matthew,HR ,2019-04-08,54,Other,96392,6,4.5,Yes,Mumbai
2443,Sharon,Finance,2025-05-03,46,Female,51538,0,2.9,No,Mumbai
2956,Cameron,HR ,2025-04-15,28,,76005,0,2.4,Yes,Bangalore
2438,Paul,Finance,2025-02-20,49,Other,32586,0,2.1,No,Mumbai
1863,Adam,IT,2024-05-24,39,,56485,1,4.3,Yes,Hyderabad
2815,Rachel,hr,2016-02-20,23,,37209,9,2.5,Yes,Chennai
1102,Cameron,Marketing,2022-01-02,58,Male,58678,3,3.4,Yes,Chennai
1696,Tanya,HR ,2021-04-26,26,Female,84540,4,2.6,Yes,Chennai
2052,Richard,HR ,2018-10-07,24,Male,75586,7,4.1,Yes,Mumbai
1186,Alec,Sales,2018-12-04,53,Female,54193,7,2.2,No,Delhi
1534,Sara,IT,2016-01-25,23,Other,48606,9,4.3,Yes,Hyderabad
1050,Frank,HR,2020-06-24,51,Female,81262,5,3.2,Yes,Bangalore
1820,Crystal,IT,2019-01-23,49,Female,67847,6,4.4,Yes,Delhi
2526,Juan,HR,2022-11-07,30,Male,110350,3,4.4,Yes,Chennai
2285,Jerry,Finance,2016-06-09,35,Male,32079,9,3.1,No,
1873,Dawn,hr,2025-01-01,46,Other,84661,0,4.3,Yes,Chennai
2375,Nathan,HR ,2016-12-10,42,Other,53924,9,4.5,No,Hyderabad
2651,Micheal,Sales,2016-12-14,39,,1000000,9,2.1,No,
1963,Melissa,IT,2017-01-28,29,Female,69985,8,4.4,No,Delhi
1127,Matthew,HR ,2022-02-05,55,Female,40726,3,3.5,No,Bangalore
2494,Joe,HR ,2020-12-14,58,,99539,5,4.0,Yes,Mumbai
1088,Cameron,HR,2025-02-23,50,Female,62743,0,,No,
1286,Jill,IT,2022-08-15,44,Female,46093,3,4.8,Yes,Mumbai
1413,Timothy,HR ,2024-07-22,100,Other,70666,1,2.8,No,Mumbai
1827,Daniel,IT,2019-05-07,32,Male,48940,6,3.3,No,
2365,Jacqueline,Marketing,2022-01-08,47,Female,110447,3,4.3,Yes,Bangalore
2539,Amy,Sales,2020-05-27,38,Male,49969,5,5.0,No,
1254,Dustin,hr,2019-10-02,50,Female,65333,6,4.3,No,Hyderabad
1894,Angela,hr,2025-05-12,33,,112672,0,4.9,No,
1445,Christopher,Marketing,2023-12-24,27,Other,72254,2,2.8,No,
2315,Jacob,Marketing,2022-10-08,58,Female,90783,3,4.1,No,Bangalore
1766,Cynthia,Marketing,2020-07-09,49,,77910,5,2.9,No,Mumbai
2629,Kelly,Sales,2023-11-03,36,Male,63074,2,4.2,No,
2220,Rachel,IT,2024-05-07,37,Other,118683,1,4.1,No,Chennai
2043,Benjamin,HR ,2017-12-31,56,,95543,8,4.4,No,Delhi
1021,Ashley,IT,2016-10-08,53,Male,52377,9,4.3,No,Chennai
2016,Justin,IT,2025-08-24,58,,83714,0,2.7,No,Delhi
1681,Ashley,Finance,2025-05-14,33,Male,79243,0,4.1,No,Bangalore
1886,Brandy,HR,2016-10-01,38,Male,54155,9,3.9,No,Chennai
2114,James,Finance,2021-03-03,40,Other,39959,4,4.8,Yes,Chennai
2536,Caroline,HR ,2020-01-29,46,Female,85334,5,2.5,No,Bangalore
1953,Holly,Marketing,2021-11-01,37,,58695,4,3.0,Yes,Delhi
2095,Susan,IT,2023-11-22,37,Other,32701,2,3.0,Yes,Delhi
2277,Frederick,hr,2018-07-25,41,Male,31283,7,5.0,No,Delhi
1935,Anthony,Sales,2023-04-19,28,Female,102744,2,4.8,No,Bangalore
2297,Heidi,Sales,2023-10-24,23,Male,117984,2,3.0,Yes,
1300,Anthony,HR,2019-03-18,49,,105448,6,5.0,Yes,Chennai
1920,Caleb,Sales,2021-12-08,59,,59656,4,2.3,No,Mumbai
2190,David,Finance,2016-04-24,38,Male,115235,9,3.3,No,Bangalore
2576,Jason,HR ,2025-01-21,38,,56919,0,3.2,Yes,Chennai
2700,Chad,HR,2021-12-26,37,Female,38341,4,2.6,No,Hyderabad
2311,Victoria,HR ,2020-09-08,48,Female,83602,5,3.1,Yes,Chennai
1956,Lindsay,Finance,2018-11-24,34,,62201,7,2.4,Yes,Chennai
1931,Lee,hr,2020-05-07,52,Male,91754,5,2.8,No,
2952,James,Finance,2024-12-28,53,,96445,1,2.0,No,Chennai
1468,Mackenzie,Finance,2024-11-19,29,Female,88228,1,4.6,No,Delhi
1551,Victor,Marketing,2024-06-29,29,,104412,1,2.5,Yes,Bangalore
1975,Scott,Sales,2025-06-19,37,Male,104443,0,2.0,Yes,Bangalore
2000,Amanda,Sales,2018-06-07,45,Male,62202,7,2.3,Yes,
1479,Mary,HR,2021-08-12,51,,60458,4,3.9,No,Bangalore
1482,Steven,hr,2022-12-18,24,Female,37625,3,3.3,Yes,Chennai
1707,James,Marketing,2019-03-18,58,Other,91349,6,4.8,No,Delhi
2491,Michael,Marketing,2017-05-03,23,Female,86761,8,2.5,No,
1920,Brandi,IT,2021-12-09,28,Female,44907,4,2.5,No,Bangalore
1452,Terry,HR ,2023-03-26,59,Other,56026,2,4.7,No,
1252,Carlos,HR,2019-06-04,59,Female,72503,6,4.4,Yes,Chennai
1319,Joshua,hr,2023-05-23,15,,72112,2,4.2,No,Bangalore
1546,Amanda,hr,2019-08-12,24,Female,95249,6,2.5,Yes,Hyderabad
1009,Donald,HR,2024-11-23,32,,75283,1,2.4,Yes,Bangalore
2084,Jennifer,HR ,2016-10-25,50,Male,96120,9,,No,Bangalore
2898,Keith,HR,2020-11-27,40,Male,67876,5,4.7,No,
1724,Crystal,HR,2017-10-17,47,Female,53546,8,3.9,Yes,Delhi
1579,Arthur,Sales,2017-07-06,32,Other,46019,8,2.6,Yes,Hyderabad
2700,Travis,Finance,2022-09-20,49,,62402,3,3.5,Yes,Chennai
2460,James,Sales,2023-04-07,47,Male,81495,2,2.6,No,Bangalore
2634,Christopher,HR ,2016-06-18,59,Female,92520,9,3.7,No,Hyderabad
2582,Katherine,HR,2025-05-05,38,,116519,0,2.4,Yes,
2202,Jeffrey,Marketing,2021-03-21,46,Other,66033,4,3.1,No,Delhi
1723,Melissa,HR ,2018-08-15,56,Male,66664,7,2.4,Yes,Bangalore
2212,Sarah,hr,2019-10-01,46,,114541,6,4.1,No,Delhi
1438,Amy,hr,2021-10-23,51,Male,57209,4,2.9,Yes,Delhi
2241,Danielle,HR ,2024-09-21,100,Other,54324,1,4.1,No,Mumbai
2192,Cathy,hr,2019-10-10,28,Female,47802,6,3.0,Yes,Hyderabad
1167,Jeffrey,HR,2015-10-12,28,Male,75500,10,3.2,No,
2073,Timothy,Sales,2022-07-01,27,Female,31432,3,5.0,Yes,Chennai
1559,Shawn,HR ,2022-05-28,24,,118317,3,3.9,No,Chennai
2377,Lindsey,IT,2025-08-11,15,Other,52679,0,4.3,No,
2711,Michelle,HR,2025-04-18,22,Other,87838,0,3.3,Yes,
1440,Melissa,IT,2019-10-12,35,,101734,6,3.8,No,Hyderabad
2501,Michael,Finance,2023-06-25,57,Other,60450,2,4.2,No,Mumbai
2540,Kayla,Sales,2024-06-29,56,Female,68035,1,2.7,Yes,Chennai
2197,Michael,Finance,2019-10-19,26,Female,500000,6,3.4,No,Bangalore
1041,Alan,Sales,2022-03-12,38,Male,109422,3,2.1,Yes,
1331,Matthew,Marketing,2020-02-24,32,Male,94293,5,2.2,Yes,
2477,Jeffrey,Finance,2024-12-07,100,Female,49091,1,2.5,Yes,Delhi
2535,Heather,Marketing,2015-11-27,54,Other,33447,10,2.5,No,Chennai
2999,Travis,Marketing,2017-04-17,26,,81578,8,2.5,No,Mumbai
1729,James,Sales,2017-07-19,47,Other,30664,8,4.2,No,Hyderabad
1118,Keith,Marketing,2021-09-22,39,Male,101636,4,2.6,No,Delhi
1873,Nathaniel,IT,2019-01-08,55,Male,45326,6,4.5,No,Bangalore
1519,Christopher,Sales,2016-04-06,41,Other,45553,9,2.6,No,Bangalore
1603,Karen,IT,2016-03-13,44,Female,37281,9,4.9,Yes,Delhi
2119,Susan,Marketing,2018-01-21,40,Female,33859,7,3.7,Yes,Delhi
1397,Kevin,Marketing,2024-07-26,51,Female,58092,1,,Yes,Bangalore
1978,Robert,Finance,2016-04-20,52,Female,61729,9,3.6,No,Delhi
1016,Karen,Marketing,2016-02-26,49,Female,68910,9,2.8,Yes,Mumbai
1515,Eric,Finance,2019-03-17,41,,119793,6,4.3,No,Delhi
1738,Monica,HR ,2021-07-23,39,Other,92069,4,3.8,No,Chennai
1679,Melinda,HR ,2016-09-26,48,Other,57655,9,3.3,Yes,Delhi
1295,Roger,hr,2020-04-11,42,Female,52168,5,3.5,Yes,Chennai
2812,Amy,Marketing,2023-12-12,27,Female,31508,2,4.3,Yes,Chennai
1053,Michael,Finance,2016-12-03,33,Male,117429,9,4.4,Yes,Chennai
1814,Michael,IT,2023-05-13,30,Male,65946,2,2.9,Yes,Bangalore
1455,John,Sales,2020-05-30,40,Female,62637,5,2.4,Yes,Delhi
2257,Jonathan,HR ,2023-02-12,31,,83888,2,4.0,Yes,Bangalore
1909,Lisa,Sales,2018-05-09,27,Female,68024,7,4.8,Yes,Hyderabad
2388,Katherine,Finance,2022-12-04,55,Male,102630,3,3.2,Yes,Bangalore
1679,Megan,Marketing,2015-12-30,33,Other,59494,10,3.1,Yes,Delhi
1215,Emily,Sales,2018-05-10,36,Other,114957,7,4.0,No,Bangalore
1921,Melissa,Finance,2022-11-17,27,Male,52879,3,2.6,No,
2251,Brianna,Sales,2022-04-13,51,Female,71265,3,4.5,No,Hyderabad
1217,Victoria,hr,2016-04-09,47,Male,103096,9,3.7,No,Delhi
2625,Luke,IT,2017-07-05,51,Female,57182,8,2.6,Yes,Mumbai
2068,Benjamin,HR ,2023-01-08,29,Male,99917,2,2.4,Yes,
1418,James,IT,2028-09-18,52,,73967,0,3.5,No,Mumbai
1149,Danielle,Finance,2025-06-02,58,Male,58423,0,4.8,No,Delhi
1811,Shannon,Finance,2023-07-15,27,Male,109700,2,3.7,No,Chennai
1718,Ethan,HR ,2023-03-01,42,Other,93679,2,3.8,No,
1152,Sarah,IT,2017-03-06,56,Female,109533,8,2.3,Yes,Bangalore
1086,Shelley,HR,2018-05-29,26,Male,119777,7,3.1,No,Mumbai
1522,Madeline,IT,2017-04-24,28,Female,51097,8,2.2,No,Hyderabad
1467,Sarah,HR,2020-06-12,55,Female,106526,5,3.7,Yes,Mumbai
2256,Shaun,HR ,2017-11-23,48,,68305,8,4.3,Yes,
2784,Sarah,Sales,2024-12-07,36,Other,69449,1,2.1,Yes,Delhi
1013,Anthony,Marketing,2023-01-22,24,Other,45375,2,2.0,Yes,
2537,Elizabeth,HR ,2019-07-14,31,Other,53462,6,2.9,No,
2760,Peter,Marketing,2019-02-26,43,Other,39650,6,3.0,No,
2787,Connie,HR ,2022-05-22,47,Other,57467,3,4.9,Yes,Delhi
1853,Jessica,Marketing,2022-09-07,44,Male,91651,3,5.0,No,
